[INFO] 2025-09-06 13:04:14,685 | django.server | log_message:213 | "GET /statistics/ HTTP/1.1" 200 32678
[INFO] 2025-09-06 13:04:31,531 | django.server | log_message:213 | "GET /statistics/?database=WAY4 HTTP/1.1" 200 22523
[INFO] 2025-09-06 13:07:54,041 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\forms.py changed, reloading.
[INFO] 2025-09-06 13:07:54,514 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:08:04,121 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\forms.py changed, reloading.
[INFO] 2025-09-06 13:08:04,550 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:08:11,135 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:08:11,633 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:08:38,415 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:08:38,851 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:09:12,673 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:09:13,128 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:09:51,022 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 13:09:51,439 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:10:02,934 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:10:03,365 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:10:17,045 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\admin.py changed, reloading.
[INFO] 2025-09-06 13:10:17,539 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:14:21,582 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\forms.py changed, reloading.
[INFO] 2025-09-06 13:14:22,024 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:15:08,626 | django.server | log_message:213 | "GET /statistics/?database=WAY4 HTTP/1.1" 200 22714
[INFO] 2025-09-06 13:15:09,744 | django.server | log_message:213 | "GET /statistics/?database=WAY4 HTTP/1.1" 200 22714
[INFO] 2025-09-06 13:15:10,552 | django.server | log_message:213 | "GET /statistics/?database=WAY4 HTTP/1.1" 200 22714
[ERROR] 2025-09-06 13:15:11,486 | django.server | log_message:213 | "GET /import-log/ HTTP/1.1" 500 219757
[ERROR] 2025-09-06 13:15:13,678 | django.server | log_message:213 | "GET /import-log/ HTTP/1.1" 500 219894
[ERROR] 2025-09-06 13:16:56,342 | django.server | log_message:213 | "GET /import-log/ HTTP/1.1" 500 219894
[ERROR] 2025-09-06 13:16:59,239 | django.server | log_message:213 | "GET /import-log/ HTTP/1.1" 500 219757
[ERROR] 2025-09-06 13:17:01,230 | django.server | log_message:213 | "GET /log-files/ HTTP/1.1" 500 212370
[INFO] 2025-09-06 13:17:09,904 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:17:09,912 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 5772
[INFO] 2025-09-06 13:17:12,408 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 13:17:12,453 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26755
[INFO] 2025-09-06 13:17:14,671 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 38201
[ERROR] 2025-09-06 13:17:16,284 | django.server | log_message:213 | "GET /log-files/ HTTP/1.1" 500 212351
[ERROR] 2025-09-06 13:17:18,832 | django.server | log_message:213 | "GET /import-log/ HTTP/1.1" 500 219828
[INFO] 2025-09-06 13:17:44,765 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 38029
[INFO] 2025-09-06 13:18:14,839 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 38021
[INFO] 2025-09-06 13:18:24,174 | django.server | log_message:213 | "GET /manage/ HTTP/1.1" 200 17497
[INFO] 2025-09-06 13:18:28,684 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26296
[INFO] 2025-09-06 13:18:30,155 | django.server | log_message:213 | "GET /statistics/ HTTP/1.1" 200 40052
[INFO] 2025-09-06 13:18:31,510 | django.server | log_message:213 | "GET /abnormal-queries/ HTTP/1.1" 200 23298
[INFO] 2025-09-06 13:18:34,681 | django.server | log_message:213 | "GET /generate-report/ HTTP/1.1" 200 24719
[INFO] 2025-09-06 13:18:38,035 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26296
[INFO] 2025-09-06 13:18:38,579 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26296
[INFO] 2025-09-06 13:18:41,382 | django.server | log_message:213 | "GET /auth/profile/ HTTP/1.1" 200 9141
[INFO] 2025-09-06 13:20:51,191 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 13:20:51,646 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:20:58,181 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\admin.py changed, reloading.
[INFO] 2025-09-06 13:20:58,620 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:21:03,171 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\admin.py changed, reloading.
[INFO] 2025-09-06 13:21:03,734 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
